source_csv_line,isotope,state_label,initial_trigger,post_VS_HF,post_Rurarz_HF,post_trigger,audit_status,action_or_note,source_basis
15,253Es,,VS<1,0.995370194052,1.41378181696,VS<1,verified,Half-life alpha branch and Qalpha agree with adopted evaluation,NNDC ENSDF adopted + NUBASE2020
17,255Es,,VS<1,0.977436394742,1.26488540126,VS<1,verified,Alpha branch 8.0(4)% and 39.8 d half-life verified,NNDC ENSDF adopted + NUBASE2020
20,241Fm,,VS<1|R<1,0.0604263427405,0.0832127403065,VS<1|R<1,verified_qualified,Alpha branch is an upper limit and Qalpha is systematic; HF is a lower limit,NNDC ENSDF adopted + NUBASE2020
22,243Fm,,VS<1,0.899912596633,1.30170751068,VS<1,verified,231 ms and alpha=91(3)% verified,NNDC ENSDF adopted + NUBASE2020
23,244Fm,,VS<1|R<1,0.417868952796,0.619260334238,VS<1|R<1,verified_qualified,Alpha<1% and systematic Qalpha retained; HF is a lower limit,NNDC ENSDF adopted + NUBASE2020
25,246Fm,,VS<1|R<1,0.609002520475,0.935249040891,VS<1|R<1,corrected,Decay-mode order corrected from alpha/EC/SF to alpha/SF/EC; bSF=6.4%,NNDC ENSDF adopted
27,248Fm,,R>100,0.661984850101,1.04035768201,VS<1,corrected_qualified,Alpha 0.99 fraction had been read as 0.99%; corrected to approximately 99%,NNDC ENSDF adopted + NUBASE2020
29,250Fm,,VS<1,0.909288276794,1.41564053149,VS<1,verified,31.0 min and alpha-dominant decay agree with evaluated data,NUBASE2020 + Ackermann review table
30,251Fm,,VS>100|R>100,160.754080457,248.234315556,VS>100|R>100,verified,Alpha=1.80(13)% and Qalpha=7.4245 MeV verified,NNDC ENSDF adopted + NUBASE2020
31,252Fm,,VS<1,1.13509845536,1.69314049017,none,corrected_removed_from_extreme,Qalpha digit transposition corrected 7.1357 to 7.1527 MeV; primary SF branch restored,NNDC ENSDF adopted
33,254Fm,,VS<1|R<1,0.612144625372,0.939671649698,VS<1|R<1,corrected_non_HF_field,Primary SF branch 0.06% restored instead of beta-delayed SF limit; alpha HF unchanged,NNDC ENSDF adopted
35,256Fm,,VS<1|R<1,0.425776781052,0.620520596951,VS<1|R<1,verified,SF=91.9(3)% and alpha=8.1(3)% verified,NNDC ENSDF adopted + NUBASE2020
49,255Md,,R>100,88.8695043886,140.727800144,R>100,verified,27 min and alpha=7(1)% verified,NNDC ENSDF adopted + NUBASE2020
53,259Md,,VS<1,0.791506608195,1.10777680281,VS<1,verified_qualified,Alpha<1.3% and systematic Qalpha retained; HF is a lower limit,NNDC ENSDF adopted + NUBASE2020
56,250No,,VS<1|R<1,0.00101690461581,0.00147327599861,VS<1|R<1,verified_qualified,Only SF observed; alpha<2% and Qalpha systematic make HF a lower limit,NNDC ENSDF adopted + NUBASE2020
57,251No,,VS<1,0.97616593785,1.4475305562,VS<1,verified,0.80 s and alpha near 90% verified within adopted uncertainty,NNDC ENSDF adopted + NUBASE2020
58,252No,,VS<1,0.914234532386,1.37926289126,VS<1,verified,2.467 s and alpha=67.6% verified,NNDC ENSDF adopted + NUBASE2020
61,255No,,R>100,71.3686459042,110.643102784,R>100,verified,3.52 min and alpha=30(5)% verified,NNDC ENSDF adopted + NUBASE2020
62,256No,,VS<1,0.935427529893,1.46113132918,VS<1,verified,2.91 s and alpha=99.45% verified,NNDC ENSDF adopted + NUBASE2020
84,254Rf,,VS<1|R<1,0.00843113194824,0.0114734438958,VS<1|R<1,verified_qualified,Only SF observed; alpha<1.5% and systematic Qalpha make HF a lower limit,NNDC ENSDF adopted + NUBASE2020
90,260Rf,,VS<1,0.694920139834,1.01462086597,VS<1,verified_qualified,Alpha decay is unobserved; 2% is an evaluator recommendation and retained as approximate,Ackermann review table + ENSDF non-observation
97,255Db,,VS<1|R<1,0.200738076669,0.260079468854,VS<1|R<1,verified_newer_source,2.6 ms and 8/92 branches are the 2024 activity rather than the older second-scale assignment,doi:10.1103/PhysRevC.110.044313
110,257Sg,,VS<1|R<1,0.76244735028,0.950578193336,VS<1|R<1,verified_qualified,New 2025 isotope; approximate 10% alpha branch retained,doi:10.1103/s7hr-y7zq
113,260Sg,,VS<1|R<1,0.766560795447,0.946313483434,VS<1|R<1,verified_review_value,4.95 ms and 71/29 values retained from the newer review compilation,Ackermann review table; older ENSDF differs
124,271Sg,,VS<1|R<1,0.739215102381,0.990524887275,VS<1|R<1,verified_newer_source,31 s and 73/27 are the updated combined 2022 data,doi:10.1103/PhysRevC.106.024612
